,,Feature Hunt,
,Does your website state how many projects and users are associated with your project?,Yes,Contributors listed
,Do you provide success stories on your website?,No,
,Do you list your important partners and collaborators on your website?,Yes,Contributors listed
,Do you list your project's publications on your website or link to a resource where these are available?,No,
,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
,Can users subscribe to notifications to changes to your source code repository?,Yes,user notified when changes in repo
,"If your software is developed as an open source project (and just a project developing open source software), do you have a governance model?",NA,
Q14 - How you ma0ge contributions,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,Open to contributions
, Do you have a contributions policy?,Yes,https://github.com/msethi13/feature-hunt/blob/main/CONTRIBUTING.md
,Is your contributions' policy publicly available,Yes,https://github.com/msethi13/feature-hunt/blob/main/CONTRIBUTING.md
,Do contributors keep the copyright/IP of their contributions,Yes,Copyright info Mentioned in source code files
Q15 - Your software's copyright and licensing,Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,
,Does each of your source code files include a copyright statement?,No,Present in modules
,Does your website and documentation clearly state the licence of your software?,Yes,https://github.com/msethi13/feature-hunt/blob/main/LICENSE
,Is your software released under an open source licence?,Yes,https://github.com/msethi13/feature-hunt/blob/main/LICENSE
,Is your software released under an OSI-approved open-source licence?,Yes,https://github.com/msethi13/feature-hunt/blob/main/LICENSE
,Does each of your source code files include a licence header?,No,Copyright info in source files https://github.com/msethi13/feature-hunt/blob/main/LICENSE
,Do you have a recommended citation for your software?,Yes,DOI badge
Q16 - Your plans for the future,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,Roadmap in README.md
,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",Yes,
,"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,Issues can be created.
